,Unnamed: 0,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Result
150,150,0.114410348236561,2018.87609863281,72.2760696411133,6.16865491867065,3.84496879577637,1.91668474674225,3.99518990516663,4286.96630859375,139.542053222656,38,163.550445556641,0.038228701800108,150.214508056641,7.50902271270752,1.97586643695831,1.28109574317932,0.862412333488464,0.576492309570313,767.970336914063,22.2544384002686,20.6630363464355,27.0378017425537,2.0,7,1
151,151,0.213856890797615,2042.38232421875,72.7340545654297,6.92055130004883,3.79160761833191,2.47552704811096,4.07052993774414,4285.44091796875,139.492401123047,38,163.139953613281,0.065704233944416,147.543441772461,7.43835592269897,2.22078824043274,1.35944223403931,1.18292891979218,0.569614350795746,674.903198242188,21.8576507568359,23.7677555084229,27.8815689086914,2.0,7,1
152,152,0.174531206488609,2008.7529296875,72.2539138793945,8.2973051071167,4.20012474060059,3.38684248924255,16.4206638336182,4239.234375,137.988372802734,38,167.075378417969,0.0574258044362068,145.067535400391,7.53283262252808,3.04169917106628,1.77141892910004,1.12509799003601,2.46161389350891,1548.60388183594,51.7633056640625,22.3753223419189,39.6786766052246,2.0,5,4
153,153,0.12150751799345,1222.12048339844,43.6641464233398,7.43914365768433,2.94303202629089,3.00657105445862,3.94533133506775,4271.5048828125,139.038772583008,38,163.396453857422,0.0407807305455208,77.25341796875,7.86019802093506,2.74146389961243,1.46208763122559,0.404639363288879,0.389934062957764,715.983581542969,20.6164646148682,11.8968181610107,27.6751880645752,2.0,5,2
154,154,0.282627910375595,2013.51037597656,72.9391098022461,8.37947177886963,2.90816855430603,1.86080825328827,3.17434620857239,4283.50390625,139.610504150391,38,163.589889526367,0.0811619833111763,144.853210449219,7.39192295074463,3.05432772636414,0.482021361589432,1.34341871738434,0.54288387298584,1542.04943847656,36.6550102233887,17.0342025756836,32.4807243347168,1.0,5,1
155,155,0.15071913599968,2017.65026855469,72.9668121337891,5.28602123260498,2.32412266731262,0.502647876739502,3.77031850814819,4291.44189453125,139.687744140625,38,163.555252075195,0.0446457862854004,145.397567749023,7.56733131408691,1.27952909469604,0.498465329408646,0.222796261310577,0.395415425300598,731.583740234375,20.2693843841553,11.2104368209839,28.1015892028809,2.0,5,1
156,156,0.133819565176964,1212.48571777344,42.5745391845703,12.4481077194214,4.33792400360107,4.29776573181152,3.75910067558289,4270.45849609375,139.004730224609,38,163.931167602539,0.0530421622097492,83.133544921875,7.28502702713013,4.77991485595703,2.33993005752563,1.30754804611206,0.332271248102188,672.236145019531,19.9774837493896,14.2545204162598,28.8129024505615,1.0,3,2
157,157,0.121885776519775,1232.06506347656,42.3757095336914,11.3535661697388,3.31062793731689,3.88736152648926,3.70978212356567,4274.76171875,139.469802856445,38,164.052322387695,0.0475401617586613,83.827018737793,7.73153638839722,4.63977718353271,1.9833652973175,1.400794506073,0.325014173984528,673.878662109375,20.2034225463867,14.2731294631958,28.8054656982422,1.0,3,2
158,158,0.121071256697178,2012.93139648438,72.3649291992188,5.46445798873901,2.05016136169434,1.18687796592712,3.91662073135376,4287.78369140625,139.568649291992,38,164.077819824219,0.0447188727557659,149.429550170898,7.60980844497681,1.45767068862915,0.655693888664246,0.538160383701324,0.395776718854904,684.6533203125,20.3817596435547,14.5895967483521,28.623950958252,1.0,3,1
159,159,0.153691619634628,2020.25061035156,72.7282333374023,5.51815795898438,0.741572678089142,0.730681598186493,3.97776103019714,4287.17041015625,139.548690795898,38,164.195404052734,0.0531153008341789,149.854858398438,7.71571588516235,1.31027901172638,0.285080254077911,0.277507752180099,0.412324160337448,689.062133789063,20.5911731719971,14.7415895462036,28.6231803894043,2.0,3,1
160,160,0.137821465730667,1226.55920410156,41.6228103637695,7.85051822662354,3.81705760955811,3.92502808570862,3.92342710494995,4273.3544921875,139.098983764648,38,163.794586181641,0.0539322644472122,76.5879592895508,7.39796924591064,5.27889633178711,1.76104521751404,1.8544796705246,0.375290036201477,691.948791503906,20.2350597381592,13.7283611297607,28.6587867736816,1.0,2,1
161,161,0.134750813245773,1241.33740234375,41.7412948608398,7.89292478561401,3.90050721168518,3.94687700271606,3.92947268486023,4273.44873046875,139.102066040039,38,163.920593261719,0.050815723836422,77.2889633178711,7.31508016586304,5.37008047103882,1.77261579036713,1.89219117164612,0.370402634143829,690.256469726563,20.2384777069092,13.8416032791138,28.714693069458,1.0,2,1
162,162,0.281533807516098,2033.06787109375,72.7143402099609,7.35860681533813,4.46664333343506,2.66332530975342,3.79499220848083,4290.2802734375,139.649932861328,38,163.655883789063,0.0843709036707878,152.033065795898,7.32977676391602,3.05650901794434,1.75766086578369,1.156773686409,0.35864993929863,671.891540527344,20.0480651855469,14.4966344833374,28.8026390075684,1.0,2,1
163,163,0.304571449756622,2040.01513671875,72.9623031616211,7.79386901855469,4.47721529006958,2.68237566947937,3.83350706100464,4289.55419921875,140.502212524414,38,163.605773925781,0.0856472104787827,147.159225463867,7.23987770080566,3.13113307952881,1.78205227851868,1.19593870639801,0.373955309391022,667.239685058594,20.1334552764893,14.6518564224243,28.8381023406982,1.0,2,1
164,164,0.183175280690193,1172.91845703125,43.5937347412109,8.92915153503418,4.79838752746582,4.25441551208496,3.94166016578674,4272.73974609375,139.078979492188,38,164.077194213867,0.054368119686842,75.2020874023438,7.98668670654297,2.25075244903564,1.7902717590332,0.321504145860672,0.388674855232239,715.448669433594,20.4465007781982,12.2885665893555,28.1472835540771,2.0,1,2
165,165,0.0972877219319344,1225.2900390625,42.5938491821289,6.82064580917358,2.9990336894989,2.77196407318115,4.03231143951416,4272.7041015625,139.077819824219,38,164.186019897461,0.034957367926836,76.868522644043,7.61727428436279,2.24958825111389,1.31798768043518,0.301781624555588,0.425851821899414,728.384338378906,20.5691776275635,11.9626979827881,28.135232925415,2.0,1,1
166,166,0.114969499409199,2010.69689941406,72.3918151855469,5.44500350952148,2.70662999153137,1.01410436630249,3.87504482269287,4289.328125,139.618942260742,38,164.057769775391,0.04135362803936,144.727005004883,7.52266931533813,1.31255722045898,0.767426669597626,0.382342368364334,0.466469675302505,767.0615234375,20.3477993011475,12.0562629699707,28.4609203338623,2.0,1,1
